num_dependents,education,self_employed,income_annum,loan_amount,loan_term,cibil_score,residential_assets,commercial_assets,luxury_assets,bank_assets,default_label,drift_type,date,month
3,Not Graduate,No,2800000,5900000,4,461,1600000,400000,8900000,2800000,1,none,2024-04-11,4
4,Not Graduate,No,4900000,10700000,20,321,1200000,400000,11100000,6500000,1,none,2024-04-21,4
1,Graduate,No,1600000,3300000,2,513,400000,1300000,4600000,2200000,1,none,2024-04-21,4
4,Graduate,No,700000,1800000,18,728,400000,1300000,2200000,600000,0,none,2024-04-22,4
0,Not Graduate,No,2100000,4700000,2,459,4000000,1300000,8100000,1200000,1,none,2024-04-13,4
1,Not Graduate,Yes,5000000,16800000,6,711,6300000,7600000,16000000,3200000,0,none,2024-04-07,4
3,Not Graduate,No,4900000,12900000,18,877,1800000,7000000,17900000,3300000,0,none,2024-04-23,4
2,Graduate,No,5400000,20600000,18,621,11200000,2200000,11600000,5500000,0,none,2024-04-17,4
2,Graduate,Yes,9400000,37300000,14,383,7800000,15900000,27100000,7700000,1,none,2024-04-02,4
4,Not Graduate,Yes,9400000,35000000,10,517,10700000,15100000,27500000,6700000,1,none,2024-04-12,4
4,Graduate,No,3500000,8900000,20,809,7100000,1500000,13700000,3200000,0,none,2024-04-25,4
2,Graduate,Yes,4800000,12900000,8,740,9300000,900000,11000000,3700000,0,none,2024-04-10,4
4,Graduate,No,2200000,7800000,20,633,0,3900000,8400000,1900000,0,none,2024-04-18,4
0,Graduate,Yes,5900000,15200000,16,399,15200000,3200000,12200000,6500000,1,none,2024-04-22,4
3,Not Graduate,Yes,5800000,16600000,10,444,13300000,5900000,15000000,8500000,1,none,2024-04-27,4
4,Graduate,Yes,2400000,7400000,18,888,2700000,1600000,7600000,3200000,0,none,2024-04-11,4
4,Graduate,No,700000,1800000,8,874,1600000,1000000,1300000,300000,0,none,2024-04-16,4
1,Graduate,No,800000,3000000,4,338,900000,1000000,2600000,400000,0,none,2024-04-17,4
3,Graduate,No,9600000,37800000,10,418,6700000,5500000,34900000,11300000,1,none,2024-04-19,4
1,Not Graduate,Yes,1700000,5600000,2,882,3100000,2600000,6700000,1600000,0,none,2024-04-18,4
5,Not Graduate,Yes,9200000,23600000,12,656,1400000,11200000,36400000,4900000,0,none,2024-04-03,4
4,Graduate,No,2300000,5400000,16,490,6200000,3700000,5500000,2100000,1,none,2024-04-21,4
1,Not Graduate,No,7300000,19200000,14,599,18400000,5400000,15900000,3700000,0,none,2024-04-27,4
1,Not Graduate,No,6900000,26200000,4,534,14500000,11900000,14900000,9400000,0,none,2024-04-26,4
1,Graduate,No,6100000,19100000,6,341,5700000,5900000,12400000,6300000,1,none,2024-04-16,4
1,Graduate,Yes,9500000,30500000,18,500,1300000,3300000,20500000,5500000,1,none,2024-04-06,4
3,Graduate,Yes,4400000,10000000,8,875,5900000,5200000,11700000,4100000,0,none,2024-04-25,4
0,Not Graduate,Yes,2000000,5900000,12,900,3800000,2400000,7100000,3000000,0,none,2024-04-12,4
3,Not Graduate,Yes,600000,1700000,14,521,0,1000000,1700000,600000,1,none,2024-04-11,4
3,Not Graduate,Yes,600000,1800000,4,843,1400000,300000,1700000,400000,0,none,2024-04-15,4
3,Graduate,Yes,1500000,5800000,18,420,800000,1900000,4100000,1400000,1,none,2024-04-15,4
1,Not Graduate,Yes,300000,900000,20,419,800000,0,600000,300000,1,none,2024-04-16,4
3,Not Graduate,Yes,2900000,7000000,4,806,5700000,5600000,5900000,3000000,0,none,2024-04-10,4
2,Graduate,No,2700000,10300000,10,736,1000000,0,6200000,3300000,0,none,2024-04-12,4
3,Graduate,No,4500000,12500000,12,469,4100000,7600000,14200000,3400000,1,none,2024-04-28,4
3,Graduate,Yes,2400000,9200000,14,626,300000,3600000,8500000,2000000,0,none,2024-04-13,4
1,Not Graduate,No,300000,1100000,12,443,600000,400000,1200000,200000,1,none,2024-04-04,4
1,Not Graduate,No,2100000,5300000,20,461,1500000,3800000,8100000,1700000,1,none,2024-04-07,4
4,Graduate,Yes,4700000,12000000,2,416,5800000,8200000,13000000,6800000,1,none,2024-04-22,4
1,Not Graduate,Yes,8700000,30700000,6,708,20600000,4500000,27600000,9300000,0,none,2024-04-02,4
0,Graduate,Yes,5800000,12700000,12,528,8400000,7300000,19600000,7600000,1,none,2024-04-26,4
5,Not Graduate,No,5500000,21200000,4,582,12100000,8300000,17100000,3100000,0,none,2024-04-27,4
1,Not Graduate,Yes,3600000,13200000,20,546,8900000,3600000,13900000,2900000,1,none,2024-04-27,4
3,Graduate,Yes,2300000,8000000,14,472,4400000,3300000,7700000,1800000,1,none,2024-04-27,4
1,Graduate,No,8900000,22600000,18,617,8400000,15500000,27900000,11700000,0,none,2024-04-15,4
2,Not Graduate,No,8300000,20800000,6,667,19300000,4100000,25400000,6800000,0,none,2024-04-08,4
2,Not Graduate,Yes,2100000,6900000,2,566,700000,1500000,8100000,1000000,0,none,2024-04-07,4
1,Graduate,Yes,6400000,13900000,12,313,18600000,6300000,18600000,4900000,1,none,2024-04-15,4
3,Not Graduate,Yes,3100000,6300000,18,895,2300000,3400000,10500000,4200000,0,none,2024-04-23,4
2,Graduate,Yes,4900000,12000000,20,513,14200000,8100000,18300000,4800000,1,none,2024-04-14,4
2,Not Graduate,No,4300000,14500000,10,594,11400000,700000,14000000,5300000,0,none,2024-04-08,4
2,Graduate,Yes,9700000,35100000,20,612,13400000,13500000,38200000,6500000,0,none,2024-04-28,4
0,Graduate,No,2600000,5100000,14,678,500000,1200000,6000000,3100000,0,none,2024-04-12,4
0,Graduate,Yes,5300000,20200000,2,861,500000,800000,16500000,6200000,0,none,2024-04-13,4
5,Not Graduate,No,700000,2400000,20,330,1300000,700000,2500000,500000,1,none,2024-04-11,4
1,Not Graduate,Yes,8100000,30900000,12,464,13600000,9800000,17900000,7500000,1,none,2024-04-17,4
2,Not Graduate,Yes,9800000,34600000,16,754,12400000,14900000,34700000,6100000,0,none,2024-04-17,4
5,Graduate,No,6900000,19700000,6,588,9800000,7500000,17100000,7300000,0,none,2024-04-24,4
3,Graduate,No,8000000,18600000,20,565,1600000,8600000,22500000,9400000,0,none,2024-04-04,4
0,Graduate,No,6500000,24100000,20,488,3300000,6000000,22900000,9700000,1,none,2024-04-21,4
1,Graduate,Yes,8300000,16800000,2,366,22000000,6600000,27300000,4500000,1,none,2024-04-08,4
2,Graduate,No,6800000,21200000,16,439,17100000,4700000,23300000,3600000,1,none,2024-04-05,4
4,Graduate,Yes,2400000,7100000,16,871,7000000,300000,8500000,3500000,0,none,2024-04-26,4
5,Not Graduate,No,9600000,27100000,8,594,25500000,4600000,26800000,13300000,0,none,2024-04-16,4
5,Graduate,Yes,1500000,4900000,6,618,3400000,1000000,3200000,900000,0,none,2024-04-04,4
2,Graduate,Yes,7000000,19000000,6,523,5300000,9300000,25800000,9500000,1,none,2024-04-28,4
3,Graduate,No,9800000,25600000,10,404,24400000,6700000,37000000,11500000,1,none,2024-04-22,4
2,Not Graduate,Yes,700000,2600000,12,429,1600000,1300000,2700000,800000,1,none,2024-04-15,4
1,Not Graduate,No,6400000,14100000,20,553,11700000,4500000,20000000,3600000,0,none,2024-04-12,4
5,Graduate,No,5300000,19400000,6,510,14700000,7000000,13600000,3700000,1,none,2024-04-05,4
3,Graduate,Yes,1000000,2300000,10,303,1000000,400000,2500000,1000000,1,none,2024-04-23,4
3,Graduate,Yes,4800000,10100000,4,368,9100000,5100000,16500000,3500000,1,none,2024-04-16,4
0,Not Graduate,No,9800000,20100000,16,606,6200000,800000,37300000,8700000,0,none,2024-04-14,4
5,Graduate,No,4700000,10200000,16,874,10800000,7700000,11100000,7000000,0,none,2024-04-10,4
3,Not Graduate,No,1400000,4100000,8,455,3000000,1400000,2900000,2100000,1,none,2024-04-07,4
2,Not Graduate,Yes,3100000,10700000,16,357,9200000,1900000,7700000,3800000,1,none,2024-04-13,4
1,Not Graduate,Yes,6800000,16800000,10,736,2000000,2600000,23800000,5600000,0,none,2024-04-20,4
0,Graduate,No,700000,1900000,18,572,1400000,1000000,2000000,300000,0,none,2024-04-28,4
4,Not Graduate,Yes,6100000,21200000,6,808,700000,7200000,22300000,6100000,0,none,2024-04-05,4
0,Graduate,No,1400000,2700000,2,685,3400000,800000,5400000,1300000,0,none,2024-04-03,4
4,Not Graduate,Yes,4300000,11400000,2,560,10000000,3900000,8900000,3300000,0,none,2024-04-15,4
3,Not Graduate,Yes,700000,2000000,18,544,800000,1300000,1500000,400000,1,none,2024-04-04,4
2,Not Graduate,Yes,5400000,14800000,6,724,1000000,400000,13100000,5400000,0,none,2024-04-15,4
