date,month,transaction_amount,customer_age,customer_type,risk_score,num_past_defaults,transaction_frequency,region,default_label,drift_injected
2024-04-02,4,41477.83,39,Corporate,0.1457,2,24,South,1,none
2024-04-13,4,52172.36,29,Retail,0.1118,0,24,South,0,none
2024-04-14,4,45392.86,33,Retail,0.2926,0,21,East,1,none
2024-04-02,4,71931.08,38,Corporate,0.4486,0,22,South,1,none
2024-04-16,4,52615.93,52,Retail,0.3564,0,6,South,0,none
2024-04-14,4,39964.19,22,Retail,0.3318,1,22,North,1,none
2024-04-07,4,62787.52,32,Corporate,0.1767,0,21,South,1,none
2024-04-22,4,58449.47,63,Corporate,0.0508,0,25,West,0,none
2024-04-14,4,37675.97,37,Corporate,0.3631,0,17,North,1,none
2024-04-18,4,44772.65,58,Retail,0.3571,0,15,West,0,none
2024-04-17,4,45028.3,49,Retail,0.183,0,10,East,1,none
2024-04-05,4,68411.92,30,Retail,0.283,0,3,West,0,none
2024-04-11,4,53048.63,29,SME,0.2639,0,7,South,0,none
2024-04-18,4,60901.74,46,SME,0.4383,0,29,East,1,none
2024-04-16,4,42600.92,31,Retail,0.461,1,25,South,0,none
2024-04-26,4,55022.0,61,Retail,0.1288,0,2,East,0,none
2024-04-10,4,69550.41,24,Corporate,0.1233,0,13,East,0,none
2024-04-06,4,44583.85,44,Retail,0.2769,0,27,North,0,none
2024-04-14,4,51727.32,44,SME,0.4002,2,29,West,0,none
2024-04-02,4,29550.41,25,Corporate,0.3646,0,14,South,0,none
2024-04-27,4,38516.63,44,Retail,0.5285,0,4,East,1,none
2024-04-09,4,44983.36,30,Retail,0.7426,0,8,North,1,none
2024-04-28,4,34087.41,25,Corporate,0.0426,1,5,East,0,none
2024-04-13,4,69829.61,55,Retail,0.2498,0,12,West,0,none
2024-04-21,4,37429.89,60,Corporate,0.0735,0,27,East,0,none
2024-04-23,4,61801.98,39,Retail,0.1682,0,24,West,0,none
2024-04-20,4,52802.54,55,Retail,0.0893,0,12,East,0,none
2024-04-12,4,50462.78,55,Corporate,0.2685,1,11,West,0,none
2024-04-02,4,72292.45,63,Retail,0.3525,1,2,South,0,none
2024-04-03,4,16091.0,24,Retail,0.1296,1,28,West,1,none
2024-04-13,4,47056.93,40,Retail,0.2371,0,24,West,0,none
2024-04-21,4,33794.29,55,Corporate,0.2503,0,22,South,0,none
2024-04-01,4,20578.69,47,Corporate,0.2657,0,5,West,0,none
2024-04-28,4,32079.02,56,Retail,0.0967,0,13,East,0,none
2024-04-20,4,50258.56,62,Corporate,0.2891,0,18,East,0,none
2024-04-04,4,39119.79,64,Retail,0.1079,0,23,East,0,none
2024-04-18,4,63449.2,52,Retail,0.3368,0,17,South,0,none
2024-04-25,4,46792.31,64,Corporate,0.5461,1,6,West,0,none
2024-04-13,4,45128.92,48,Corporate,0.3808,0,19,West,1,none
